City,Year,Brand,Car Name,Car model,Car Price,KM,Owner,Car Type,Car link
Mumbai,2020,Hyundai,Creta  ,Automatic,"₹17,80,399","38,423 km",1st Owner,Diesel,https://www.cars24.com/buy-used-hyundai-creta-2020-cars-mumbai-1063211969/
Mumbai,2013,Maruti,Swift Dzire ,Manual,"₹4,43,099","1,61,934 km",1st Owner,Diesel,https://www.cars24.com/buy-used-maruti-swift-dzire-2013-cars-mumbai-1033946428/
Mumbai,2019,Honda,Amaze  ,Manual,"₹6,57,199","4,603 km",1st Owner,Petrol,https://www.cars24.com/buy-used-honda-amaze-2019-cars-mumbai-1033084209/
Mumbai,2020,Renault,TRIBER  ,Automatic,"₹6,61,199","19,677 km",1st Owner,Petrol,https://www.cars24.com/buy-used-renault-triber-2020-cars-mumbai-10326099770/
Mumbai,2021,Renault,TRIBER  ,Manual,"₹7,21,799","4,772 km",1st Owner,Petrol,https://www.cars24.com/buy-used-renault-triber-2021-cars-mumbai-10333991712/
Mumbai,2016,Hyundai,Grand i10 ,Manual,"₹4,03,999","23,846 km",3rd Owner,Petrol,https://www.cars24.com/buy-used-hyundai-grand-i10-2016-cars-mumbai-1032391860/
Mumbai,2014,Maruti,Swift Dzire ,Manual,"₹4,47,599","40,877 km",1st Owner,Petrol,https://www.cars24.com/buy-used-maruti-swift-dzire-2014-cars-mumbai-1036097060/
Mumbai,2021,Tata,Tiago  ,Manual,"₹6,94,699","2,897 km",1st Owner,Petrol,https://www.cars24.com/buy-used-tata-tiago-2021-cars-mumbai-10340697795/
Mumbai,2017,Tata,NEXON  ,Manual,"₹7,68,199","19,863 km",1st Owner,Petrol,https://www.cars24.com/buy-used-tata-nexon-2017-cars-mumbai-1030364460/
Mumbai,2013,Maruti,Alto 800 ,Manual,"₹2,56,499","40,509 km",1st Owner,Petrol,https://www.cars24.com/buy-used-maruti-alto-800-2013-cars-mumbai-1039973966/
Mumbai,2017,Hyundai,Elite i20 ,Manual,"₹5,58,399","16,381 km",1st Owner,Petrol,https://www.cars24.com/buy-used-hyundai-elite-i20-2017-cars-mumbai-1034866463/
Mumbai,2016,Volkswagen,Vento  ,Manual,"₹6,10,499","20,393 km",1st Owner,Petrol,https://www.cars24.com/buy-used-volkswagen-vento-2016-cars-mumbai-10383993779/
Mumbai,2017,Renault,Kwid  ,Manual,"₹3,66,399","9,512 km",1st Owner,Petrol,https://www.cars24.com/buy-used-renault-kwid-2017-cars-mumbai-10331698718/
Mumbai,2014,Volkswagen,Vento  ,Manual,"₹4,29,999","68,983 km",3rd Owner,Petrol,https://www.cars24.com/buy-used-volkswagen-vento-2014-cars-mumbai-1030834766/
Mumbai,2020,Hyundai,Creta  ,Manual,"₹12,86,799","11,301 km",1st Owner,Petrol,https://www.cars24.com/buy-used-hyundai-creta-2020-cars-mumbai-10362495774/
Mumbai,2019,KIA,SELTOS  ,Manual,"₹16,01,199","5,914 km",1st Owner,Petrol,https://www.cars24.com/buy-used-kia-seltos-2019-cars-mumbai-1037366924/
Mumbai,2016,Hyundai,Grand i10 ,Manual,"₹4,36,199","40,124 km",1st Owner,Petrol,https://www.cars24.com/buy-used-hyundai-grand-i10-2016-cars-mumbai-1037510441/
Mumbai,2018,Hyundai,Grand i10 ,Manual,"₹5,07,299","22,796 km",1st Owner,Petrol,https://www.cars24.com/buy-used-hyundai-grand-i10-2018-cars-mumbai-1039845264/
