City,Year,Brand,Car Name,Car model,Car Price,KM,Owner,Car Type,Car link
Chennai,2015,Maruti,Wagon R 1.0,Manual,"₹4,01,199","43,585 km",1st Owner,Petrol,https://www.cars24.com/buy-used-maruti-wagon-r-1.0-2015-cars-chennai-11397393795/
Chennai,2017,Hyundai,Grand i10 ,Manual,"₹5,27,999","40,950 km",1st Owner,Petrol,https://www.cars24.com/buy-used-hyundai-grand-i10-2017-cars-chennai-1130114764/
Chennai,2018,Maruti,Wagon R 1.0,Automatic,"₹5,19,199","28,459 km",1st Owner,Petrol,https://www.cars24.com/buy-used-maruti-wagon-r-1.0-2018-cars-chennai-11317495774/
Chennai,2018,Honda,WR-V  ,Manual,"₹7,55,299","72,429 km",1st Owner,Petrol,https://www.cars24.com/buy-used-honda-wr-v-2018-cars-chennai-1132055668/
Chennai,2017,Hyundai,Grand i10 ,Automatic,"₹5,66,299","78,053 km",2nd Owner,Petrol,https://www.cars24.com/buy-used-hyundai-grand-i10-2017-cars-chennai-1136443564/
Chennai,2017,Hyundai,Grand i10 ,Manual,"₹5,15,199","75,992 km",1st Owner,Petrol,https://www.cars24.com/buy-used-hyundai-grand-i10-2017-cars-chennai-1133974867/
Chennai,2018,Maruti,Wagon R 1.0,Manual,"₹4,99,599","22,046 km",1st Owner,Petrol,https://www.cars24.com/buy-used-maruti-wagon-r-1.0-2018-cars-chennai-1137306566/
Chennai,2019,Maruti,Alto  ,Manual,"₹3,50,799","13,835 km",2nd Owner,Petrol,https://www.cars24.com/buy-used-maruti-alto-2019-cars-chennai-1138148104/
Chennai,2017,Hyundai,Eon  ,Manual,"₹3,25,699","61,339 km",1st Owner,Petrol,https://www.cars24.com/buy-used-hyundai-eon-2017-cars-chennai-1138907165/
Chennai,2018,Maruti,Baleno  ,Manual,"₹6,69,099","63,433 km",1st Owner,Petrol,https://www.cars24.com/buy-used-maruti-baleno-2018-cars-chennai-1130970768/
Chennai,2017,Maruti,Baleno  ,Manual,"₹6,42,899","75,909 km",1st Owner,Petrol,https://www.cars24.com/buy-used-maruti-baleno-2017-cars-chennai-1138286966/
Chennai,2019,Maruti,Alto K10 ,Manual,"₹3,92,399","43,737 km",1st Owner,Petrol,https://www.cars24.com/buy-used-maruti-alto-k10-2019-cars-chennai-1135310561/
Chennai,2017,Maruti,Alto 800 ,Manual,"₹3,08,599","54,014 km",1st Owner,Petrol,https://www.cars24.com/buy-used-maruti-alto-800-2017-cars-chennai-1139531067/
Chennai,2018,Maruti,Alto 800 ,Manual,"₹3,41,699","37,131 km",1st Owner,Petrol,https://www.cars24.com/buy-used-maruti-alto-800-2018-cars-chennai-1131350961/
Chennai,2017,Hyundai,Grand i10 ,,"₹5,60,399","53,180 km",1st Owner,Petrol,https://www.cars24.com/buy-used-hyundai-grand-i10-2017-cars-chennai-1133757966/
Chennai,2016,Maruti,Wagon R 1.0,Automatic,"₹4,18,199","74,140 km",2nd Owner,Petrol,https://www.cars24.com/buy-used-maruti-wagon-r-1.0-2016-cars-chennai-1135770765/
Chennai,2018,Ford,Ecosport  ,Manual,"₹8,19,599","67,891 km",1st Owner,Petrol,https://www.cars24.com/buy-used-ford-ecosport-2018-cars-chennai-1139714301/
Chennai,2018,Maruti,Wagon R 1.0,Manual,"₹4,99,099","25,638 km",1st Owner,Petrol,https://www.cars24.com/buy-used-maruti-wagon-r-1.0-2018-cars-chennai-11312892775/
Chennai,2018,Maruti,Alto 800 ,Manual,"₹3,37,899","35,182 km",2nd Owner,Petrol,https://www.cars24.com/buy-used-maruti-alto-800-2018-cars-chennai-1131320161/
Chennai,2017,Maruti,Alto 800 ,Manual,"₹3,16,399","64,365 km",1st Owner,Petrol,https://www.cars24.com/buy-used-maruti-alto-800-2017-cars-chennai-1136353066/
Chennai,2017,Maruti,Wagon R 1.0,Manual,"₹4,63,099","49,741 km",1st Owner,Petrol,https://www.cars24.com/buy-used-maruti-wagon-r-1.0-2017-cars-chennai-11345195795/
Chennai,2018,Maruti,Wagon R 1.0,Automatic,"₹4,93,399","61,912 km",1st Owner,Petrol,https://www.cars24.com/buy-used-maruti-wagon-r-1.0-2018-cars-chennai-1137294761/
Chennai,2017,Maruti,Alto K10 ,Automatic,"₹4,14,299","23,386 km",2nd Owner,Petrol,https://www.cars24.com/buy-used-maruti-alto-k10-2017-cars-chennai-11310897799/
Chennai,2017,Maruti,Wagon R 1.0,Manual,"₹4,53,299","58,133 km",1st Owner,Petrol,https://www.cars24.com/buy-used-maruti-wagon-r-1.0-2017-cars-chennai-11313293797/
Chennai,2019,Maruti,Swift  ,Manual,"₹5,89,299","54,157 km",1st Owner,Petrol,https://www.cars24.com/buy-used-maruti-swift-2019-cars-chennai-1139961164/
Chennai,2020,Hyundai,VENUE  ,Manual,"₹8,68,699","8,600 km",1st Owner,Petrol,https://www.cars24.com/buy-used-hyundai-venue-2020-cars-chennai-1137843567/
Chennai,2014,Hyundai,i10  ,Manual,"₹3,38,199","63,251 km",1st Owner,Petrol,https://www.cars24.com/buy-used-hyundai-i10-2014-cars-chennai-1135069743/
Chennai,2020,Volkswagen,Polo  ,Manual,"₹8,46,599","20,731 km",1st Owner,Petrol,https://www.cars24.com/buy-used-volkswagen-polo-2020-cars-chennai-11357295792/
Chennai,2016,Maruti,Baleno  ,Manual,"₹5,80,699","41,068 km",1st Owner,Petrol,https://www.cars24.com/buy-used-maruti-baleno-2016-cars-chennai-1135447702/
Chennai,2014,Maruti,Celerio  ,Manual,"₹3,86,299","32,442 km",1st Owner,Petrol,https://www.cars24.com/buy-used-maruti-celerio-2014-cars-chennai-1136571569/
Chennai,2013,Maruti,Swift Dzire ,Manual,"₹4,45,299","1,20,225 km",1st Owner,Diesel,https://www.cars24.com/buy-used-maruti-swift-dzire-2013-cars-chennai-1134066424/
Chennai,2016,Toyota,Innova Crysta ,Manual,"₹15,04,999","2,77,250 km",1st Owner,Diesel,https://www.cars24.com/buy-used-toyota-innova-crysta-2016-cars-chennai-1137517843/
Chennai,2016,Renault,Kwid  ,Manual,"₹3,13,199","96,371 km",1st Owner,Petrol,https://www.cars24.com/buy-used-renault-kwid-2016-cars-chennai-11386894799/
Chennai,2018,Hyundai,Creta  ,Manual,"₹12,93,599","41,026 km",2nd Owner,Diesel,https://www.cars24.com/buy-used-hyundai-creta-2018-cars-chennai-11310799711/
Chennai,2010,Honda,City  ,Manual,"₹4,52,799","45,307 km",2nd Owner,Petrol,https://www.cars24.com/buy-used-honda-city-2010-cars-chennai-11307597797/
Chennai,2014,Maruti,Ritz  ,Manual,"₹4,23,799","28,929 km",1st Owner,Petrol,https://www.cars24.com/buy-used-maruti-ritz-2014-cars-chennai-1132934165/
Chennai,2015,Maruti,Alto 800 ,Manual,"₹2,53,599","22,851 km",3rd Owner,Petrol,https://www.cars24.com/buy-used-maruti-alto-800-2015-cars-chennai-1134699303/
Chennai,2021,Maruti,Dzire  ,Manual,"₹7,70,099","2,031 km",1st Owner,Petrol,https://www.cars24.com/buy-used-maruti-dzire-2021-cars-chennai-11336099798/
Chennai,2013,Maruti,Swift  ,Manual,"₹3,89,199","50,534 km",2nd Owner,Petrol,https://www.cars24.com/buy-used-maruti-swift-2013-cars-chennai-1130330827/
Chennai,2016,Hyundai,i10  ,Manual,"₹3,78,599","28,727 km",2nd Owner,Petrol,https://www.cars24.com/buy-used-hyundai-i10-2016-cars-chennai-1133259703/
Chennai,2016,Hyundai,Grand i10 ,Manual,"₹4,48,799","45,631 km",2nd Owner,Petrol,https://www.cars24.com/buy-used-hyundai-grand-i10-2016-cars-chennai-1130519641/
Chennai,2012,Maruti,Swift Dzire ,Manual,"₹3,42,999","1,60,727 km",2nd Owner,Petrol,https://www.cars24.com/buy-used-maruti-swift-dzire-2012-cars-chennai-1131876143/
Chennai,2013,Volkswagen,Polo  ,Manual,"₹4,14,699","75,440 km",1st Owner,Petrol,https://www.cars24.com/buy-used-volkswagen-polo-2013-cars-chennai-1138396762/
Chennai,2016,Maruti,Alto 800 ,Manual,"₹2,62,099","34,373 km",2nd Owner,Petrol,https://www.cars24.com/buy-used-maruti-alto-800-2016-cars-chennai-1134401369/
Chennai,2020,Maruti,Swift  ,Automatic,"₹8,73,799","20,986 km",1st Owner,Petrol,https://www.cars24.com/buy-used-maruti-swift-2020-cars-chennai-11314492770/
Chennai,2021,Tata,PUNCH  ,,"₹7,78,899","3,129 km",1st Owner,Petrol,https://www.cars24.com/buy-used-tata-punch-2021-cars-chennai-11315199710/
Chennai,2014,Honda,Amaze  ,Manual,"₹4,81,999","48,333 km",1st Owner,Petrol,https://www.cars24.com/buy-used-honda-amaze-2014-cars-chennai-1138950365/
Chennai,2018,Maruti,Eeco  ,Manual,"₹3,95,299","22,230 km",1st Owner,Petrol,https://www.cars24.com/buy-used-maruti-eeco-2018-cars-chennai-1136649447/
Chennai,2021,MG,HECTOR  ,Manual,"₹16,57,999","7,472 km",1st Owner,Petrol,https://www.cars24.com/buy-used-mg-hector-2021-cars-chennai-1135736367/
Chennai,2020,Hyundai,NEW SANTRO ,Manual,"₹4,93,899","18,622 km",1st Owner,Petrol,https://www.cars24.com/buy-used-hyundai-new-santro-2020-cars-chennai-11392492778/
Chennai,2020,Hyundai,VENUE  ,Manual,"₹8,70,832","17,390 km",1st Owner,Petrol,https://www.cars24.com/buy-used-hyundai-venue-2020-cars-chennai-1137736169/
