City,Year,Brand,Car Name,Car model,Car Price,KM,Owner,Car Type,Car link
Ahmedabad,2021,Hyundai,Creta  ,Manual,"₹16,73,799","3,378 km",1st Owner,Diesel,https://www.cars24.com/buy-used-hyundai-creta-2021-cars-ahmedabad-1145883263/
Ahmedabad,2017,Volkswagen,Polo  ,Manual,"₹5,84,199","68,394 km",1st Owner,Diesel,https://www.cars24.com/buy-used-volkswagen-polo-2017-cars-ahmedabad-1146825665/
Ahmedabad,2021,Maruti,Eeco  ,Manual,"₹5,31,399","2,340 km",1st Owner,Petrol,https://www.cars24.com/buy-used-maruti-eeco-2021-cars-ahmedabad-11439198773/
Ahmedabad,2013,Toyota,Innova  ,Manual,"₹7,00,099","2,81,380 km",2nd Owner,Diesel,https://www.cars24.com/buy-used-toyota-innova-2013-cars-ahmedabad-1359550721/
Ahmedabad,2017,Maruti,Baleno  ,Manual,"₹5,16,499","83,464 km",1st Owner,Diesel,https://www.cars24.com/buy-used-maruti-baleno-2017-cars-ahmedabad-1141745944/
Ahmedabad,2017,Maruti,Eeco  ,Manual,"₹4,36,799","15,568 km",1st Owner,Petrol,https://www.cars24.com/buy-used-maruti-eeco-2017-cars-ahmedabad-1361862920/
Ahmedabad,2015,Hyundai,i10  ,Manual,"₹3,67,599","38,635 km",1st Owner,Petrol,https://www.cars24.com/buy-used-hyundai-i10-2015-cars-ahmedabad-1146104404/
Ahmedabad,2013,Honda,City  ,Manual,"₹4,77,499","71,349 km",1st Owner,Petrol,https://www.cars24.com/buy-used-honda-city-2013-cars-ahmedabad-1147041364/
Ahmedabad,2021,Maruti,Eeco  ,Manual,"₹5,31,399","5,035 km",1st Owner,Petrol,https://www.cars24.com/buy-used-maruti-eeco-2021-cars-ahmedabad-11489591711/
Ahmedabad,2019,Maruti,Dzire  ,Manual,"₹7,06,199","29,770 km",1st Owner,Diesel,https://www.cars24.com/buy-used-maruti-dzire-2019-cars-ahmedabad-1284658965/
Ahmedabad,2017,Hyundai,Grand i10 ,Manual,"₹4,80,099","16,757 km",1st Owner,Petrol,https://www.cars24.com/buy-used-hyundai-grand-i10-2017-cars-ahmedabad-1149980164/
Ahmedabad,2019,Maruti,Dzire  ,Manual,"₹7,11,499","6,227 km",1st Owner,Petrol,https://www.cars24.com/buy-used-maruti-dzire-2019-cars-ahmedabad-1140625460/
Ahmedabad,2015,Maruti,Celerio  ,Automatic,"₹3,95,799","47,869 km",1st Owner,Petrol,https://www.cars24.com/buy-used-maruti-celerio-2015-cars-ahmedabad-11498691790/
Ahmedabad,2018,Maruti,Baleno  ,Manual,"₹5,57,399","1,32,544 km",1st Owner,Petrol + CNG,https://www.cars24.com/buy-used-maruti-baleno-2018-cars-ahmedabad-1143932608/
Ahmedabad,2015,Hyundai,Creta  ,Manual,"₹7,95,499","1,50,727 km",1st Owner,Diesel,https://www.cars24.com/buy-used-hyundai-creta-2015-cars-ahmedabad-1352638348/
Ahmedabad,2016,Hyundai,Elite i20 ,Manual,"₹6,17,688","58,187 km",1st Owner,Petrol,https://www.cars24.com/buy-used-hyundai-elite-i20-2016-cars-ahmedabad-1144415162/
Ahmedabad,2019,Renault,TRIBER  ,Manual,"₹5,88,799","26,493 km",1st Owner,Petrol,https://www.cars24.com/buy-used-renault-triber-2019-cars-ahmedabad-1146411467/
Ahmedabad,2017,Maruti,Alto 800 ,Manual,"₹2,96,099","66,687 km",1st Owner,Petrol,https://www.cars24.com/buy-used-maruti-alto-800-2017-cars-ahmedabad-1140398068/
Ahmedabad,2018,Maruti,Alto K10 ,Manual,"₹3,50,399","18,895 km",1st Owner,Petrol,https://www.cars24.com/buy-used-maruti-alto-k10-2018-cars-ahmedabad-1148711666/
Ahmedabad,2019,Maruti,XL6  ,Manual,"₹9,36,999","25,242 km",1st Owner,Petrol,https://www.cars24.com/buy-used-maruti-xl6-2019-cars-ahmedabad-1149632963/
Ahmedabad,2021,Hyundai,NEW I20 ,,"₹6,73,199","11,284 km",1st Owner,Petrol,https://www.cars24.com/buy-used-hyundai-new-i20-2021-cars-surat-1356362460/
Ahmedabad,2018,Maruti,S Cross ,Manual,"₹8,88,099","20,043 km",1st Owner,Diesel,https://www.cars24.com/buy-used-maruti-s-cross-2018-cars-ahmedabad-1140195407/
Ahmedabad,2018,Datsun,Redi Go ,Manual,"₹2,84,599","23,875 km",2nd Owner,Petrol,https://www.cars24.com/buy-used-datsun-redi-go-2018-cars-ahmedabad-1140744306/
Ahmedabad,2019,Maruti,Alto 800 ,Manual,"₹3,52,899","78,986 km",1st Owner,Petrol + CNG,https://www.cars24.com/buy-used-maruti-alto-800-2019-cars-ahmedabad-1141960961/
