City,Year,Brand,Car Name,Car model,Car Price,Car km,Owner,Car Type,Car link
Pune,2019,Hyundai,NEW SANTRO ,Manual,532099,"2,839",1,Petrol,https://www.cars24.com/buy-used-hyundai-new-santro-2019-cars-pune-1060656601/
Pune,2016,Mahindra,Scorpio  ,Manual,834199,143495,1,Diesel,https://www.cars24.com/buy-used-mahindra-scorpio-2016-cars-pune-1067007700/
Pune,2019,Maruti,Vitara Brezza ,Manual,792199,"42,955",1,Diesel,https://www.cars24.com/buy-used-maruti-vitara-brezza-2019-cars-pune-1068383308/
Pune,2016,Toyota,Innova Crysta ,Automatic,1524299,163438,1,Diesel,https://www.cars24.com/buy-used-toyota-innova-crysta-2016-cars-pune-1039376448/
Pune,2017,Honda,Jazz  ,Manual,613999,"15,182",1,Petrol,https://www.cars24.com/buy-used-honda-jazz-2017-cars-pune-1030077002/
Pune,2017,Maruti,Celerio  ,Automatic,487299,"53,139",1,Petrol,https://www.cars24.com/buy-used-maruti-celerio-2017-cars-mumbai-1032266461/
Pune,2019,Renault,Kwid  ,Manual,449299,"17,525",1,Petrol,https://www.cars24.com/buy-used-renault-kwid-2019-cars-pune-10631994777/
Pune,2018,Volkswagen,Ameo  ,Automatic,681499,"82,015",1,Diesel,https://www.cars24.com/buy-used-volkswagen-ameo-2018-cars-mumbai-1034226168/
Pune,2019,Renault,TRIBER  ,Manual,673599,"9,981",1,Petrol,https://www.cars24.com/buy-used-renault-triber-2019-cars-pune-1064305863/
Pune,2017,Hyundai,Eon  ,Manual,381299,"30,266",1,Petrol,https://www.cars24.com/buy-used-hyundai-eon-2017-cars-pune-10684798774/
Pune,2016,Maruti,Baleno  ,Manual,571847,"28,225",1,Petrol,https://www.cars24.com/buy-used-maruti-baleno-2016-cars-mumbai-1038766165/
Pune,2017,Hyundai,Creta  ,Manual,1119199,"63,687",1,Diesel,https://www.cars24.com/buy-used-hyundai-creta-2017-cars-mumbai-1035880760/
Pune,2016,Hyundai,Grand i10 ,Manual,459999,"81,006",1,Petrol,https://www.cars24.com/buy-used-hyundai-grand-i10-2016-cars-pune-1068104363/
Pune,2019,Maruti,Vitara Brezza ,Manual,838699,"56,902",2,Diesel,https://www.cars24.com/buy-used-maruti-vitara-brezza-2019-cars-pune-1067047706/
Pune,2017,Maruti,Alto 800 ,Manual,315999,"21,451",1,Petrol,https://www.cars24.com/buy-used-maruti-alto-800-2017-cars-pune-1062105861/
Pune,2017,Jeep,Compass  ,Manual,1339099,"62,013",1,Diesel,https://www.cars24.com/buy-used-jeep-compass-2017-cars-pune-1060136566/
Pune,2020,Ford,Ecosport  ,Manual,1030799,"22,326",1,Diesel,https://www.cars24.com/buy-used-ford-ecosport-2020-cars-pune-10657195710/
Pune,2019,Hyundai,VENUE  ,Manual,1111299,"30,456",1,Diesel,https://www.cars24.com/buy-used-hyundai-venue-2019-cars-pune-1060972666/
Pune,2016,Hyundai,Grand i10 ,Manual,508099,"6,397",1,Petrol,https://www.cars24.com/buy-used-hyundai-grand-i10-2016-cars-mumbai-1036946369/
Pune,2018,Maruti,Alto 800 ,Manual,350599,"11,617",1,Petrol,https://www.cars24.com/buy-used-maruti-alto-800-2018-cars-pune-10637798792/
Pune,2020,Hyundai,GRAND I10 NIOS,Manual,675499,"7,162",1,Petrol,https://www.cars24.com/buy-used-hyundai-grand-i10-nios-2020-cars-mumbai-1038120269/
Pune,2012,Renault,Duster  ,Manual,496799,126134,2,Diesel,https://www.cars24.com/buy-used-renault-duster-2012-cars-pune-1063044625/
Pune,2016,Hyundai,Grand i10 ,Manual,449199,"15,817",1,Petrol,https://www.cars24.com/buy-used-hyundai-grand-i10-2016-cars-pune-1039212029/
Pune,2014,Ford,Ecosport  ,Manual,535599,"55,123",2,Diesel,https://www.cars24.com/buy-used-ford-ecosport-2014-cars-pune-1038983740/
Pune,2017,Maruti,Celerio  ,Automatic,492199,"25,716",2,Petrol,https://www.cars24.com/buy-used-maruti-celerio-2017-cars-pune-10698992776/
Pune,2020,Hyundai,VENUE  ,Manual,842099,787,1,Petrol,https://www.cars24.com/buy-used-hyundai-venue-2020-cars-pune-1036129869/
Pune,2018,Maruti,Baleno  ,Manual,642499,"24,337",2,Diesel,https://www.cars24.com/buy-used-maruti-baleno-2018-cars-mumbai-1037116262/
Pune,2016,Maruti,Alto 800 ,Manual,285099,"27,534",2,Petrol,https://www.cars24.com/buy-used-maruti-alto-800-2016-cars-pune-1064335366/
Pune,2020,Hyundai,VENUE  ,Manual,1046399,"7,736",1,Petrol,https://www.cars24.com/buy-used-hyundai-venue-2020-cars-pune-10683597799/
