City,Year,Brand,Car Name,Car model,Car Price,KM,Owner,Car Type,Car link
Hyderabad,2020,Maruti,Vitara Brezza ,Automatic,"₹10,93,999","16,870 km",1st Owner,Petrol,https://www.cars24.com/buy-used-maruti-vitara-brezza-2020-cars-hyderabad-1049684568/
Hyderabad,2019,Volkswagen,Ameo  ,Manual,"₹5,39,899","77,319 km",1st Owner,Petrol,https://www.cars24.com/buy-used-volkswagen-ameo-2019-cars-hyderabad-10467698713/
Hyderabad,2014,Datsun,Go  ,Manual,"₹2,99,499","22,264 km",1st Owner,Petrol,https://www.cars24.com/buy-used-datsun-go-2014-cars-hyderabad-10441693771/
Hyderabad,2015,Honda,Jazz  ,Manual,"₹5,76,999","77,836 km",1st Owner,Petrol,https://www.cars24.com/buy-used-honda-jazz-2015-cars-hyderabad-1044894263/
Hyderabad,2017,Maruti,Baleno  ,Manual,"₹7,12,199","34,171 km",1st Owner,Petrol,https://www.cars24.com/buy-used-maruti-baleno-2017-cars-hyderabad-10459993771/
Hyderabad,2015,Honda,Brio  ,Manual,"₹4,04,899","32,648 km",2nd Owner,Petrol,https://www.cars24.com/buy-used-honda-brio-2015-cars-hyderabad-10425992718/
Hyderabad,2019,Honda,City  ,Automatic,"₹11,50,399","96,695 km",1st Owner,Petrol,https://www.cars24.com/buy-used-honda-city-2019-cars-hyderabad-10449893713/
Hyderabad,2017,Maruti,Ciaz  ,Manual,"₹6,99,499","97,271 km",1st Owner,Petrol,https://www.cars24.com/buy-used-maruti-ciaz-2017-cars-hyderabad-1044140860/
Hyderabad,2018,Maruti,Ciaz  ,Manual,"₹7,08,699","69,599 km",1st Owner,Petrol,https://www.cars24.com/buy-used-maruti-ciaz-2018-cars-hyderabad-1045406568/
Hyderabad,2016,Hyundai,Eon  ,Manual,"₹3,27,199","25,026 km",1st Owner,Petrol,https://www.cars24.com/buy-used-hyundai-eon-2016-cars-hyderabad-1046426560/
Hyderabad,2020,Renault,TRIBER  ,Manual,"₹6,39,699","52,610 km",2nd Owner,Petrol,https://www.cars24.com/buy-used-renault-triber-2020-cars-hyderabad-10437194713/
Hyderabad,2017,Datsun,Go  ,Manual,"₹3,28,799","30,621 km",1st Owner,Petrol,https://www.cars24.com/buy-used-datsun-go-2017-cars-hyderabad-1049116562/
Hyderabad,2015,Hyundai,Eon  ,Manual,"₹3,09,699","60,585 km",1st Owner,Petrol,https://www.cars24.com/buy-used-hyundai-eon-2015-cars-hyderabad-10433696778/
Hyderabad,2018,Hyundai,Grand i10 ,Manual,"₹5,67,872","36,085 km",1st Owner,Petrol,https://www.cars24.com/buy-used-hyundai-grand-i10-2018-cars-hyderabad-1040900667/
Hyderabad,2017,Hyundai,Verna  ,Automatic,"₹10,40,999","90,165 km",1st Owner,Diesel,https://www.cars24.com/buy-used-hyundai-verna-2017-cars-hyderabad-10461792791/
Hyderabad,2014,Maruti,Wagon R 1.0,Manual,"₹3,66,299","41,712 km",1st Owner,Petrol,https://www.cars24.com/buy-used-maruti-wagon-r-1.0-2014-cars-hyderabad-1043181464/
Hyderabad,2017,Honda,Jazz  ,Automatic,"₹7,29,599","28,578 km",1st Owner,Petrol,https://www.cars24.com/buy-used-honda-jazz-2017-cars-hyderabad-10476593779/
Hyderabad,2015,Honda,Jazz  ,Manual,"₹5,81,499","82,089 km",3rd Owner,Petrol,https://www.cars24.com/buy-used-honda-jazz-2015-cars-hyderabad-1040506766/
Hyderabad,2020,KIA,SELTOS  ,Manual,"₹17,88,199","36,355 km",1st Owner,Diesel,https://www.cars24.com/buy-used-kia-seltos-2020-cars-hyderabad-1040430065/
Hyderabad,2019,Maruti,Eeco  ,Manual,"₹4,86,599","43,072 km",2nd Owner,Petrol,https://www.cars24.com/buy-used-maruti-eeco-2019-cars-hyderabad-1040140667/
Hyderabad,2017,Maruti,Alto 800 ,Manual,"₹3,20,399","67,363 km",1st Owner,Petrol,https://www.cars24.com/buy-used-maruti-alto-800-2017-cars-hyderabad-1041126264/
Hyderabad,2017,Hyundai,Creta  ,Manual,"₹10,55,199","74,938 km",1st Owner,Petrol,https://www.cars24.com/buy-used-hyundai-creta-2017-cars-hyderabad-10476590793/
Hyderabad,2020,Hyundai,VENUE  ,Manual,"₹9,91,199","45,668 km",1st Owner,Petrol,https://www.cars24.com/buy-used-hyundai-venue-2020-cars-hyderabad-10413496717/
Hyderabad,2020,Hyundai,GRAND I10 NIOS,Manual,"₹6,62,099","19,963 km",1st Owner,Petrol,https://www.cars24.com/buy-used-hyundai-grand-i10-nios-2020-cars-hyderabad-1047873765/
Hyderabad,2017,Honda,Jazz  ,Manual,"₹5,75,599","83,112 km",1st Owner,Petrol,https://www.cars24.com/buy-used-honda-jazz-2017-cars-hyderabad-10442698771/
Hyderabad,2017,Maruti,Baleno  ,Manual,"₹6,19,799","43,681 km",1st Owner,Petrol,https://www.cars24.com/buy-used-maruti-baleno-2017-cars-hyderabad-10422896796/
